# all rates in Hertz, MC rates scaled by 0.895722338851954
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
-500.0 -493.75 8.044621312747216e-08 4.824060838577633e-09 7.83049596894051e-07 1.7915005509039157e-08 2.0985746996222288e-08 1.5952140450887423e-09 7.526889773868152e-08 4.717689506738811e-09 7.443331419515714e-07 1.744411817451031e-08 1.7322458067656507e-08 1.4365849123111945e-09 4.7557059259836035e-08 4.259819695045253e-09 0.0 0.0 8.844815570177455e-07 1.86215921234692e-08 1.0114282610648278e-06 6.55611564928112e-08 1.1435266829928206 0.07793566939326182
-487.5 -481.25 8.697102615111643e-07 1.6302043791162793e-08 7.918828159836573e-06 5.6598939035605453e-08 2.5599656287309963e-07 5.808506751237856e-09 8.040078711858396e-07 1.5774775917383145e-08 7.548644736017535e-06 5.5235029176228345e-08 2.1311833376643565e-07 5.301279827249562e-09 4.78764043251027e-07 1.3231769014576128e-08 1.007143933141302e-07 7.371367513858786e-08 9.145249377534969e-06 9.453380974467078e-08 9.723310341665235e-06 2.0327601460092173e-07 1.063208879306261 0.02479614359997142
-475.0 -468.75 5.457727425689374e-07 1.2904462609083338e-08 5.347777351337475e-06 4.657129984858528e-08 1.6742320729465183e-07 4.686435801784649e-09 5.067957249848786e-07 1.2512950208919634e-08 5.104759342407626e-06 4.5487504833823274e-08 1.3861201250744938e-07 4.264584420735317e-09 3.1080622130111144e-07 1.0653642856823294e-08 1.42330094535827e-08 1.42330094535827e-08 6.075206310654647e-06 5.0595971810472146e-08 6.506288519706938e-06 1.6628218502476522e-07 1.0709576246482795 0.028787213095432272
-462.5 -456.25 5.585538601884847e-07 1.3039323897312261e-08 5.791803845847201e-06 4.814653905268437e-08 1.775443547139533e-07 4.759387062563731e-09 5.17154361260815e-07 1.2668662629088945e-08 5.55238171358528e-06 4.714129745310776e-08 1.4917001944447717e-07 4.371213219581375e-09 3.0919596645906747e-07 1.0433624120068573e-08 8.609295034249115e-09 6.101432418352127e-09 6.53651135578389e-06 5.047764290473255e-08 6.510538218282841e-06 1.6633648124989384e-07 0.9960264526308723 0.026584339411530915
-450.0 -443.75 3.6762095342016733e-07 1.084403595634918e-08 3.7192312940961566e-06 3.8247513018774366e-08 1.1828185312828396e-07 4.003587016277099e-09 3.406671131909883e-07 1.0459729512363876e-08 3.5712418457928015e-06 3.7415854454342804e-08 1.0187151946731613e-07 3.7251218516780478e-09 1.9135362219350196e-07 8.559523240845928e-09 5.4447808021818904e-09 5.4447808021818904e-09 4.2105788814467895e-06 4.0325422687488595e-08 3.905472991254524e-06 1.2882966665004054e-07 0.9275382557166514 0.03186011461626649
-437.5 -431.25 3.3055935984236566e-07 1.0105560604977513e-08 4.0007349931814275e-06 3.9456001336603835e-08 1.0786534086805148e-07 3.661822203220594e-09 3.0503124285612323e-07 9.74856183512454e-09 3.875595789865098e-06 3.878850428245531e-08 9.079282126990355e-08 3.3291391236950362e-09 1.677398399007193e-07 7.851219576265754e-09 1.5439986425990227e-08 1.5439986425990227e-08 4.454599680317835e-06 4.371156047658009e-08 4.079710632866532e-06 1.3167209448697834e-07 0.915842258708968 0.03089465076239703
-425.0 -418.75 2.6834211544056627e-07 8.917116247756664e-09 3.773788309400813e-06 3.784209860781689e-08 1.0819935571404214e-07 3.712533355692047e-09 2.451886536487269e-07 8.572447324873463e-09 3.636229893798414e-06 3.709908827628437e-08 8.872844504927918e-08 3.3512319267841322e-09 1.8018278805900145e-07 8.016379085378964e-09 1.983116156668715e-08 1.167596401040044e-08 4.170160942122109e-06 4.0763346632839594e-08 4.360190738876107e-06 1.3612309272737546e-07 1.0455689359215223 0.03420480302654984
-412.5 -406.25 3.2226991021394827e-07 9.882876981913493e-09 3.6176894137709475e-06 3.751304450962771e-08 1.1818096932679614e-07 3.945687791058718e-09 2.972303303812964e-07 9.526980373033398e-09 3.4791607185614974e-06 3.672253269677444e-08 1.0204020472413907e-07 3.679034683551273e-09 1.7970903964475978e-07 8.223451773364434e-09 8.536854078744164e-09 8.536854078744164e-09 4.066677147390435e-06 3.9916739540288435e-08 3.91397238840633e-06 1.2896977508367076e-07 0.9624497462056717 0.033090943670699
-400.0 -393.75 5.008553107595763e-07 1.2476142959352677e-08 4.553688326353836e-06 4.195687776839015e-08 1.847736542402586e-07 5.063149503523703e-09 4.6255970469646095e-07 1.2070847952524611e-08 4.368902499459852e-06 4.103336328837817e-08 1.5538112242617732e-07 4.667675351808451e-09 2.5247396477118005e-07 9.509981696617504e-09 1.5891441604104763e-07 5.846110239555641e-08 5.398231707394721e-06 7.320771620131718e-08 5.269626234119271e-06 1.496473290863417e-07 0.9761763702919086 0.030720316433893717
-387.5 -381.25 5.63027464036078e-07 1.3544824370734123e-08 4.972839618232193e-06 4.380737936646784e-08 1.9324668152601518e-07 5.140648071866183e-09 5.257716387552756e-07 1.316688114429209e-08 4.768701396951512e-06 4.2846305776238886e-08 1.55743056858728e-07 4.615671160697533e-09 2.7889767122877154e-07 9.924611770133656e-09 4.948064731048211e-08 1.858343134364951e-08 5.778594411104769e-06 4.974252644663901e-08 5.694596091709535e-06 1.5556451041699302e-07 0.9854638838756681 0.028225713435310294
-375.0 -368.75 5.591186150884942e-07 1.3423743445389069e-08 4.882833815218713e-06 4.325990860036034e-08 2.1670239688981146e-07 5.54739012173202e-09 5.178092781506849e-07 1.297465522336994e-08 4.670031920025894e-06 4.222828846578107e-08 1.7064813519225239e-07 4.922865606926906e-09 3.0016549382818713e-07 1.0324024731830297e-08 9.495156285581288e-08 3.865049615483842e-08 5.753606390052832e-06 5.980176394034733e-08 5.788089460379393e-06 1.5683633359962024e-07 1.00599329672363 0.029195395521666747
-362.5 -356.25 5.70568216840773e-07 1.340662116074453e-08 4.701411385968229e-06 4.234301647580184e-08 2.0907594937844165e-07 5.429723040781818e-09 5.345152841959684e-07 1.3049191453269932e-08 4.508716830235912e-06 4.140416446604456e-08 1.6960873848527277e-07 4.893009614537567e-09 2.6821469927029016e-07 9.675879893530564e-09 1.208603304369731e-07 4.244067658431533e-08 5.601915882624417e-06 6.167139901487397e-08 5.214380152632537e-06 1.48860820597152e-07 0.9308208587719233 0.028480587926294675
-350.0 -343.75 4.742799811021653e-07 1.239830734896551e-08 3.941040860789272e-06 3.845599884104756e-08 1.8453212337350772e-07 5.057388057275223e-09 4.3917286906897417e-07 1.2000597149279062e-08 3.7791695960603536e-06 3.7596550832837116e-08 1.5335177999233507e-07 4.622764437167026e-09 2.2815872014328252e-07 8.903601992284205e-09 1.5224258720751246e-07 4.756605718926334e-08 4.752095552472457e-06 6.261540419478424e-08 4.636421146309778e-06 1.4036877267668025e-07 0.9756582322713409 0.032214562459658376
-337.5 -331.25 4.757373875909648e-07 1.2376814216296448e-08 4.192392620482243e-06 3.9772625874142274e-08 1.8662672584607493e-07 5.132112044922318e-09 4.471074493423421e-07 1.2067092854821004e-08 4.039813473349543e-06 3.899985663271161e-08 1.5395093002561773e-07 4.691638771534438e-09 2.138848812017793e-07 8.530583298306712e-09 9.079089487656812e-08 2.5991525111372775e-08 4.945547628795852e-06 4.936542566134691e-08 4.581175064823044e-06 1.3952997222439042e-07 0.9263231109430188 0.029689774900574423
-325.0 -318.75 3.785028522586489e-07 1.0992501659681426e-08 3.4208763993673584e-06 3.597348305093541e-08 1.5228743431655374e-07 4.664612681807205e-09 3.5316116788615615e-07 1.0675115266782966e-08 3.286033133045485e-06 3.5187443475095825e-08 1.252012878334057e-07 4.244176160785624e-09 1.872710971775141e-07 8.158301996700375e-09 9.950060780352653e-08 2.619558694558543e-08 4.051167293746087e-06 4.607487343931656e-08 3.905472991254524e-06 1.2882966665004054e-07 0.9640364635850819 0.033637686183771075
-312.5 -306.25 2.715778980250367e-07 9.299693631064873e-09 2.336872790747184e-06 2.935818188134028e-08 1.138084381321722e-07 3.970077286089273e-09 2.5420506214572014e-07 9.038905856984987e-09 2.2653792050513867e-06 2.88786631714351e-08 9.298255798137034e-08 3.5875579556841367e-09 1.0969230172591663e-07 5.966496536579481e-09 1.558140714837147e-07 3.576671612234111e-08 2.878073198388108e-06 4.736461380443403e-08 2.6475622127873434e-06 1.060723402461547e-07 0.9199078794348022 0.03984349405088108
-300.0 -293.75 3.1205564585076527e-07 1.0138449200466593e-08 2.7835601708319486e-06 3.249258651034989e-08 1.0714037873490985e-07 3.825632345125807e-09 2.8728811557677456e-07 9.778083130623709e-09 2.6737007853636652e-06 3.179345621493707e-08 9.11958514146707e-08 3.5606871165742845e-09 1.5057144306251325e-07 7.353810755005816e-09 1.4492190140064094e-07 3.9014339310037815e-08 3.3476780968182655e-06 5.191637954404995e-08 3.438006147905234e-06 1.2087385917020017e-07 1.0269822989172164 0.03946335601074202
-287.5 -281.25 2.3286387798675992e-07 8.60605507480564e-09 2.252728838972564e-06 2.9275232106920602e-08 9.10043715835721e-08 3.5122406009300104e-09 2.1868240014719693e-07 8.373924763814455e-09 2.1658114795134565e-06 2.8673977726028952e-08 7.460250954033117e-08 3.182275825077515e-09 1.1750069934191125e-07 6.402557215190005e-09 1.2373150139605686e-07 2.8922414110393707e-08 2.700328589938953e-06 4.2189397612155885e-08 2.99603749601136e-06 1.1283730003926175e-07 1.1095084898831116 0.045239423122461556
-275.0 -268.75 1.890392612966347e-07 7.747573144549862e-09 1.7881201939089106e-06 2.5676302378274225e-08 7.072787653956922e-08 3.092608870664452e-09 1.7298624686869137e-07 7.454427465250438e-09 1.7242104010620321e-06 2.5187336201776814e-08 5.7538235347055743e-08 2.792092548968262e-09 9.315244846733524e-08 5.576329303369038e-09 1.6756747792496015e-07 5.3659508774710555e-08 2.2154548096700747e-06 6.006833196469562e-08 2.3203354224428403e-06 9.930118901791551e-08 1.0473404432873015 0.053060316364316705
-262.5 -256.25 1.6328781802943164e-07 7.297129812273599e-09 1.3833468190594237e-06 2.2144731236986618e-08 6.739796643453964e-08 3.1114232676588488e-09 1.498137877889527e-07 7.0232319590487584e-09 1.3250556703022651e-06 2.1602109061857475e-08 5.705494769909681e-08 2.8669254302558166e-09 8.210819773307991e-08 5.396481753182869e-09 1.0713899680933746e-07 2.8757868196731117e-08 1.7211716003327322e-06 3.7152835194997307e-08 1.946361947763408e-06 9.094752111850679e-08 1.130835500299414 0.05820620361474811
-250.0 -243.75 1.7073372784963102e-07 7.344177933888986e-09 1.4100580639945913e-06 2.2614212022426678e-08 6.876874520069352e-08 3.1230335621713796e-09 1.6135918945522484e-07 7.176101529016781e-09 1.347906541902866e-06 2.205835337033271e-08 5.71618014724541e-08 2.8366902463020367e-09 8.313300421437085e-08 5.383184506558132e-09 1.2532782040182923e-07 3.8087423431607565e-08 1.774888357446745e-06 4.5008273652839725e-08 1.971860139218824e-06 9.154130884752202e-08 1.1109769980436581 0.058768680516252406
-237.5 -231.25 1.912068753010259e-07 7.437891718406934e-09 1.4936897372175118e-06 2.3580419990638812e-08 7.237934101690301e-08 3.1602227913591193e-09 1.780145593201859e-07 7.235376989380001e-09 1.4204481968825047e-06 2.293141175179779e-08 5.996514539332787e-08 2.8807527278582126e-09 9.88480519394223e-08 5.903082826175535e-09 1.1904953820479552e-07 3.726392892700653e-08 1.8763254917402367e-06 4.483241960141885e-08 1.8741170719730634e-06 8.924367009395539e-08 0.9988230081737444 0.05321471921736131
-225.0 -218.75 1.1757172241327394e-07 6.212155566307019e-09 5.905395698422476e-07 1.4609960061208229e-08 4.802868612754096e-08 2.6237940271045846e-09 1.0964263172531909e-07 6.0597213747994925e-09 5.55231304989236e-07 1.4124773514586843e-08 3.841316446192516e-08 2.363466829146011e-09 5.2852877206582244e-08 4.136505703576295e-09 3.321035115265062e-08 1.6814996197294366e-08 7.89350329535713e-07 2.327380935691002e-08 8.32940920876917e-07 5.949578006263693e-08 1.055223377643794 0.08154215837544865
-212.5 -206.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-200.0 -206.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
