# sin2_theta24, sin2_theta34_cos2_theta24
0.001, 0.17131782945736435
0.00141011239906908, 0.16899224806201554
0.0030033914514445434, 0.16279069767441862
0.004926486686014787, 0.1550387596899225
0.007339587321491077, 0.14651162790697675
0.00940014014265948, 0.13798449612403102
0.011712691819377043, 0.12790697674418605
0.013813333824588294, 0.11937984496124032
0.01651621196097855, 0.1046511627906977
0.0202984411353182, 0.08139534883720928
0.023612084478634884, 0.06356589147286823
0.02901927560654372, 0.04418604651162794
0.034223810161022425, 0.03488372093023262
0.03981071705534969, 0.028682170542635665
0.05029126239917861, 0.021705426356589175
0.06712212104336604, 0.015503875968992276
0.09464973513506596, 0.009302325581395376
0.11317000713894068, 0.004651162790697716
0.12984727378846841, 0
