# sin^2(2theta_24), deltam41
0.47251826935868657, 8.92099350423049
0.47251826935868657, 7.958412510252249
0.47251826935868657, 6.965867456138808
0.4559473844166779, 5.650229856868716
0.30787334695491886, 5.040566385053493
0.2717118172700415, 4.760865917562331
0.25298849716012817, 4.411924777324524
0.21544346900318845, 4.011490657756666
0.1867746062223566, 3.3163560958187865
0.13070104796093673, 2.399746070781153
0.10180097511801844, 1.983904036985298
0.06997795396518527, 1.549111381012081
0.043995762880990864, 1.1868071806067082
0.026690492596465283, 0.8425968567942027
0.016483683364771403, 0.5543724670769404
0.01055008148436553, 0.35111917342151344
0.007123823950419673, 0.27416785161915164
0.005354046892271284, 0.25895430805858793
0.004810282058179284, 0.24928389103097875
0.0034267602534331586, 0.26392929841415524
0.002529884971601279, 0.2958519118851455
0.002005975301100415, 0.3717473949786101
0.001708276393808712, 0.5236104006025395
0.001619206824459372, 0.7375111576368327
0.001562422374575881, 1.0387927875628662
0.0016780550400703898, 1.549111381012081
0.0018347035085452543, 2.1408119109241284
0.0023555537752607343, 3.7888934877961593
0.002717118172700415, 4.760865917562331
0.003488475352951636, 6.2142458327544805
0.005074886767657295, 8.425968567942023
0.00725212224721817, 10.192118462630162
0.011742685834509287, 11.868071806067077
0.015624223745758795, 13.05276380464904
0.02116320288223405, 13.559116898031045
0.029707644418960295, 14.085112839396418
0.046415888336127774, 14.085112839396418
0.0640031796953401, 13.819612567338282
0.09478599776522392, 12.806723011028135
0.12388629239937762, 11.868071806067077
0.1678055040070388, 10.79090455492629
0.22729461532580164, 10.192118462630162
0.34267602534331587, 9.445101113397614
0.40964070111139955, 9.267063710089802
