# sin^2(2theta_24), sin^2(2theta_34)
0.001005367781407122, 0.9659854499919853
0.0012210554087780216, 0.9659854499919853
0.0017550983870430177, 0.9659854499919853
0.003226914161171793, 0.9659854499919853
0.004022097019522242, 0.9659854499919853
0.004236058845170401, 0.9514550562252315
0.004638243112216111, 0.9442720285382122
0.0050132304816485306, 0.9659854499919853
0.005560790787577168, 0.9442720285382122
0.006248601100406885, 0.9586927248263022
0.007395005274758469, 0.9514550562252315
0.009217297761697054, 0.9371432292526449
0.01148864333035388, 0.9160781232518439
0.013078030693432113, 0.8887260265452842
0.012743467954855267, 0.8238655930158152
0.012417464014515557, 0.7579729020705175
0.012099799920871679, 0.7080000690297081
0.011944028429733135, 0.6415762920671767
0.012417464014515557, 0.5308471315432878
0.014135348347646978, 0.4165360263501009
0.016513336932511162, 0.3343560024734238
0.02058258755618751, 0.2564594809841222
0.02373563951856426, 0.21707678787170948
0.029203755674321832, 0.17557436018236197
0.03985615136601939, 0.12484156271883512
0.049038042800644256, 0.09795853715374186
0.06437358559301791, 0.0745694212695573
0.08341706607786772, 0.056764818565528154
0.11384437156595074, 0.03915730039753718
0.141898136949053, 0.02980788927604986
0.16363554960154136, 0.023746336930302397
0.18627358154391174, 0.019647974839431235
0.20931363021466062, 0.015417036052640097
0.2233234419063209, 0.012281920708379865
0.22623597897508257, 0.010009333285636048
0.22044840051890638, 0.008408308251695338
0.20661894959949456, 0.006957124774923678
0.19874127319822496, 0.006400694604094692
